CRATER_ID,LATITUDE_CIRCLE_IMAGE,LONGITUDE_CIRCLE_IMAGE,LATITUDE_ELLIPSE_IMAGE,LONGITUDE_ELLIPSE_IMAGE,DIAM_CIRCLE_IMAGE,DIAM_ELLIPSE_MAJOR_IMAGE,DIAM_ELLIPSE_MINOR_IMAGE,DIAM_ELLIPSE_ECCEN_IMAGE,DIAM_ELLIPSE_ELLIP_IMAGE,DIAM_ELLIPSE_ANGLE_IMAGE,LATITUDE_CIRCLE_TOPOG,LONGITUDE_CIRCLE_TOPOG,LATITUDE_ELLIPSE_TOPOG,LONGITUDE_ELLIPSE_TOPOG,DIAM_CIRCLE_TOPOG,DEPTH_RIM_TOPOG,DEPTH_RIM_SD_TOPOG,DEPTH_SURFACE_TOPOG,DEPTH_SURFACE_SD_TOPOG,DEPTH_FLOOR_TOPOG,DEPTH_FLOOR_SD_TOPOG,DEPTH_RIMFLOOR_TOPOG,DEPTH_RIMHEIGHT_TOPOG,DEPTH_SURFFLOOR_TOPOG,PTS_USED_RIM_IMAGE,PTS_USED_RIM_TOPOG,PTS_USED_SURFACE,PTS_USED_FLOOR,PTS_USED_LAYER_1,PTS_USED_LAYER_2,PTS_USED_LAYER_3,PTS_USED_LAYER_4,PTS_USED_LAYER_5,NUMBER_LAYERS,MORPHOLOGY_CRATER_1,MORPHOLOGY_CRATER_2,MORPHOLOGY_CRATER_3,MORPHOLOGY_EJECTA_1,MORPHOLOGY_EJECTA_2,MORPHOLOGY_EJECTA_3,MORPHOLOGY_EJECTA_COMMENTS,DEGRADATION_STATE,CONFIDENCE_IMPACT_CRATER,LAYER_1_PERIMETER,LAYER_1_AREA,LAYER_1_LOBATENESS,LAYER_1_EJECTARAD_EQUIV,LAYER_1_EJECTARAD_REL,LAYER_1_VOLUME,LAYER_2_PERIMETER,LAYER_2_AREA,LAYER_2_LOBATENESS,LAYER_2_EJECTARAD_EQUIV,LAYER_2_EJECTARAD_REL,LAYER_2_VOLUME,LAYER_3_PERIMETER,LAYER_3_AREA,LAYER_3_LOBATENESS,LAYER_3_EJECTARAD_EQUIV,LAYER_3_EJECTARAD_REL,LAYER_3_VOLUME,LAYER_4_PERIMETER,LAYER_4_AREA,LAYER_4_LOBATENESS,LAYER_4_EJECTARAD_EQUIV,LAYER_4_EJECTARAD_REL,LAYER_4_VOLUME,LAYER_5_PERIMETER,LAYER_5_AREA,LAYER_5_LOBATENESS,LAYER_5_EJECTARAD_EQUIV,LAYER_5_EJECTARAD_REL,LAYER_5_VOLUME,CRATER_NAME
01-000002,69.2440,-27.2400,69.2410,-27.2350,79.6300,84.3600,75.2800,0.4500,1.1200,-23.0000,69.2370,-27.6220,69.2230,-27.5460,83.2200,-5.1500,0.0300,-5.1600,0.0300,-5.2500,0.0200,0.0900,0.0100,0.0800,435.0000,126.0000,194.0000,91.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,CpxUnc,,"Floor Deposits / Ejecta Deposits",,,,,1.0000,4.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
01-000007,78.7160,-87.2490,78.9150,-87.3070,63.5700,66.8600,58.5200,0.4800,1.1400,91.0000,78.7790,-87.7170,78.7320,-87.9280,74.1700,-4.8700,0.0200,-4.9500,0.0300,-4.9300,0.0100,0.0500,0.0800,-0.0200,264.0000,150.0000,212.0000,61.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,CpxUnc,,"Floor Deposits",,,,,1.0000,4.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
01-000008,75.5390,13.8290,75.6350,13.8290,58.4000,60.6400,56.1900,0.3800,1.0800,68.0000,75.5740,13.7480,75.5660,13.7340,52.9600,-4.7200,0.0200,-4.7000,0.0300,-4.8300,0.0100,0.1100,-0.0200,0.1300,293.0000,162.0000,340.0000,77.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,CpxUnc,,"Floor Deposits / Dunes / Ejecta Deposits",Rd,,,,1.0000,4.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
01-000010,77.7070,-27.3140,77.6560,-27.3410,52.3700,53.5100,51.2100,0.2900,1.0400,177.0000,77.6970,-27.3000,77.6970,-27.3010,52.9600,-5.0700,0.0200,-5.0900,0.0100,-5.1400,0.0100,0.0700,0.0200,0.0500,278.0000,181.0000,242.0000,87.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,CpxUnc,,"Floor Deposits",,,,,1.0000,4.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
01-000012,77.1700,-145.6810,77.1650,-145.6810,51.0800,51.7700,50.4300,0.2300,1.0300,76.0000,77.1830,-145.7330,77.1950,-145.7360,51.6100,-4.1300,0.1900,-4.8100,0.1100,-5.8600,0.1400,1.7400,0.6800,1.0500,560.0000,109.0000,148.0000,33.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,CpxFF,,"Floor Deposits",Rd,,,,3.0000,4.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,Dokka
01-000015,84.6870,1.5890,84.6520,1.6190,48.8400,48.3800,44.2800,0.4000,1.0900,36.0000,84.7130,2.4730,84.8630,2.7040,54.9900,-3.9200,0.3600,-3.5600,0.2300,-4.9900,0.0100,1.0600,-0.3600,1.4300,149.0000,68.0000,138.0000,99.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,CpxUnc,,"Floor Deposits / Dunes",,,,,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
01-000023,84.4520,-18.5030,84.1600,-18.2620,43.0300,42.8100,33.3300,0.6300,1.2800,141.0000,84.3940,-18.7610,84.4180,-18.6900,42.3400,-4.5200,0.2400,-4.3500,0.4300,-5.0200,0.0200,0.4900,-0.1700,0.6600,129.0000,115.0000,186.0000,98.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,CpxUnc,,"Floor Deposits / Dunes / Slump Deposits",,,,,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
01-000025,70.0510,-7.9390,70.0490,-7.9390,39.5100,40.1000,38.9300,0.2400,1.0300,88.0000,70.0500,-7.9580,70.0510,-7.9630,39.5600,-4.4700,0.1000,-4.9400,0.0400,-6.5500,0.0100,2.0800,0.4700,1.6100,461.0000,97.0000,106.0000,62.0000,1622.0000,0.0000,0.0000,0.0000,0.0000,1.0000,CpxUnc,,"Dunes / Slump Deposits",SLERS,HuSL,,,3.0000,4.0000,566.5800,5505.4900,1.9500,26.5300,1.3400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
01-000027,66.3300,39.7980,66.3250,39.7980,36.4100,36.7900,36.0500,0.2000,1.0200,60.0000,66.3240,39.7660,66.3250,39.7600,36.4400,-3.7600,0.1400,-4.3300,0.0300,-5.6600,0.1100,1.9000,0.5700,1.3300,462.0000,105.0000,197.0000,70.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.0000,CpxCPk,Terraced,"Floor Deposits",MLERS,HuBL,,,3.0000,4.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
01-000031,70.5030,-134.7940,70.3980,-134.7950,34.6100,35.4800,33.9200,0.2900,1.0500,85.0000,70.4400,-134.8230,70.3630,-134.8800,32.4700,-4.4200,0.0200,-4.4300,0.0500,-4.5600,0.0100,0.1400,0.0100,0.1300,160.0000,20.0000,223.0000,69.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,CpxUnc,,"Floor Deposits",,,,,1.0000,4.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
